gameId,team1,team2,date,sport
1210932042,Nebraska,Purdue,2023-10-28 00:00:00,Football
3219374379,Penn State,Indiana,2023-10-28 00:00:00,Football
1931871564,Wisconsin,Ohio State,2023-10-28 00:00:00,Football
1182389421,Ole Miss,Vanderbilt,2023-10-28 00:00:00,Football
1095790362,Michigan,Lindenwood,2023-10-28 00:00:00,Hockey
722627059,Purdue,Grace College,2023-11-01 00:00:00,Basketball
3001853150,Wisconsin,UW-Stevens Point,2023-11-01 00:00:00,Basketball
1325145513,Michigan State,Nebraska,2023-11-03 00:00:00,Football
394725698,Indiana,Marian (Exhibition),2023-11-03 00:00:00,Basketball
1027684532,Indiana,Wisconsin,2023-11-04 00:00:00,Football
1940108086,Michigan,Purdue,2023-11-04 00:00:00,Football
2346492628,Penn State,Notre Dame,2023-11-05 00:00:00,Hockey
985158873,Wisconsin,Arkansas State,2023-11-06 00:00:00,Basketball
2536484945,Purdue,Samford,2023-11-06 00:00:00,Basketball
2134461193,Wisconsin,Tennessee,2023-11-10 00:00:00,Basketball
